部品名,価格,個数,合計,サイト
チップコンデンサ0.1uF 1005,1,16,16,https://akizukidenshi.com/catalog/g/gP-13396/
チップコンデンサ10uF 1608,15,1,15,https://akizukidenshi.com/catalog/g/gP-13161/
チップLED red 1608,10,2,20,https://akizukidenshi.com/catalog/g/gI-03978/
チップLED green 1608,12.5,1,12.5,https://akizukidenshi.com/catalog/g/gI-06417/
チップLED blue 1608,10,1,10,https://akizukidenshi.com/catalog/g/gI-03982/
USB A,50,1,50,https://akizukidenshi.com/catalog/g/gC-11551/
USB Bミニ,50,1,50,https://akizukidenshi.com/catalog/g/gC-05843/
ピンヘッダ 2.54mm 1x2,1.75,2,3.5,https://akizukidenshi.com/catalog/g/gC-00167/
L型ピンヘッダ 2.54mm 1x6,5.25,1,7.5,https://akizukidenshi.com/catalog/g/gC-01627/
ピンヘッダ 2.54mm 2x3,3.75,1,3.75,https://akizukidenshi.com/catalog/g/gC-00082/
ピンヘッダ 2.54mm 2x5,6.25,1,6.25,https://akizukidenshi.com/catalog/g/gC-00082/
ピンソケット 2.54mm 1x15,40,2,80,https://akizukidenshi.com/catalog/g/gC-10102/
EHコネクタ縦2ピン,16.4,4,65.6,https://www.monotaro.com/p/0071/4087/?t.q=EH%83R%83l%83N%83%5E
EHコネクタ縦4ピン,27.4,10,274,https://www.monotaro.com/p/0071/4218/?t.q=EH%83R%83l%83N%83%5E
EHコネクタ縦6ピン,36.2,4,144.8,https://www.monotaro.com/p/0071/4254/?t.q=EH%83R%83l%83N%83%5E
チップ抵抗 120 1608,0.2,2,0.4,https://akizukidenshi.com/catalog/g/gR-06121/
チップ抵抗 1kΩ 1608,0.2,6,1.2,https://akizukidenshi.com/catalog/g/gR-14122/
チップ抵抗 10kΩ 1608,0.2,1,0.2,https://akizukidenshi.com/catalog/g/gR-06103/
プッシュスイッチ　表面実装,22,1,22,https://akizukidenshi.com/catalog/g/gP-14888/
トグルスイッチ　スルーホール,80,1,80,https://akizukidenshi.com/catalog/g/gP-00300/
CANトランシーバ MCP2562,118.91,2,237.82,https://jp.rs-online.com/web/p/can-interface-ics/7990228/
3端子レギュレータ　表面実装,50,1,50,https://akizukidenshi.com/catalog/g/gI-02252/
USBシリアル FT230XS,220,1,220,https://akizukidenshi.com/catalog/g/gI-13311/
マイコン PIC32MZ2048EFH064,1100,1,1100,https://akizukidenshi.com/catalog/g/gI-13286/
水晶発振器用IC NJU6319AE,25,1,25,https://akizukidenshi.com/catalog/g/gI-10494/
水晶 24MHz 表面実装,63.58,1,63.58,https://jp.rs-online.com/web/p/crystal-units/8136172/
,,,,
,,合計,2559.1,
