部品名,価格,個数,合計,サイト,備考、代替品など
チップコンデンサ0.1uF 1608,2,11,22,https://akizukidenshi.com/catalog/g/gP-06166/,
チップコンデンサ10uF 1608,15,4,60,https://akizukidenshi.com/catalog/g/gP-13161/,
チップコンデンサ1nF 1608,2,1,2,https://akizukidenshi.com/catalog/g/gP-14581/,
チップコンデンサ1uF 1608,5,3,15,https://akizukidenshi.com/catalog/g/gP-14526/,
チップ電解コンデンサ220uF 10×10mm,20,1,20,https://akizukidenshi.com/catalog/g/gP-04577/,
チップLED orange 1608,10,1,10,https://akizukidenshi.com/catalog/g/gI-06416/,
チップLED red 1608,10,1,10,https://akizukidenshi.com/catalog/g/gI-03978/,
チップLED green 1608,12.5,1,12.5,https://akizukidenshi.com/catalog/g/gI-06417/,
チップショットキーバリアダイオード,15,2,30,https://akizukidenshi.com/catalog/g/gI-02073/,
XHコネクタ横4ピン,12,1,12,https://akizukidenshi.com/catalog/g/gC-12842/,
XHコネクタ横5ピン,15,1,15,https://akizukidenshi.com/catalog/g/gC-12428/,
XHコネクタ横3ピン,10,1,10,https://akizukidenshi.com/catalog/g/gC-12263/,
L字ピンヘッダ 2.54mm 2x12,30,1,30,https://akizukidenshi.com/catalog/g/gC-00148/,
配線つける端子,0,2,0,お好きなように,
NchMOSFET MTB020N06KJ3,40,4,160,https://akizukidenshi.com/catalog/g/gI-17075/,
チップ抵抗150Ω 1608,0.2,2,0.4,https://akizukidenshi.com/catalog/g/gR-06151/,
チップ抵抗1kΩ 1608,0.2,4,0.8,https://akizukidenshi.com/catalog/g/gR-14122/,
チップ抵抗10kΩ 1608,0.2,2,0.4,https://akizukidenshi.com/catalog/g/gR-15029/,
チップ抵抗20Ω 1608,1,4,4,https://jp.rs-online.com/web/p/surface-mount-resistors/1995493,
チップ抵抗100kΩ 1608,0.2,4,0.8,https://akizukidenshi.com/catalog/g/gR-15321/,
チップ抵抗4.7kΩ 1608,0.2,1,0.2,https://akizukidenshi.com/catalog/g/gR-14121/,
3端子レギュレータ NJM2845,50,1,50,https://akizukidenshi.com/catalog/g/gI-11299/,
L字ピンヘッダ 2.54mm 1x6,7.5,1,7.5,https://akizukidenshi.com/catalog/g/gC-01627/,
フォトカプラ TLP291,20,1,20,https://akizukidenshi.com/catalog/g/gI-07189/,ほぼ互換品：https://akizukidenshi.com/catalog/g/gI-16298/
フォトカプラ TLP152,80,2,160,https://akizukidenshi.com/catalog/g/gI-10824/,
dsPIC33CH64MP202T-I/SS,400,1,400,https://akizukidenshi.com/catalog/g/gI-15250/,
3.3V動作RS485ドライバ MAX3485ED,70,1,70,https://akizukidenshi.com/catalog/g/gI-16211/,
ハーフブリッジドライバ IR2104,85,2,170,https://akizukidenshi.com/catalog/g/gI-06210/,ほぼ互換品：IR2302ならhttps://akizukidenshi.com/catalog/g/gI-15656/
電流センサ ACS712ELCTR-30A-T,350,1,350,https://akizukidenshi.com/catalog/g/gI-12292/,30Aから10Aに変更：https://akizukidenshi.com/catalog/g/gI-14880/
3端子レギュレータ NJM7812SDL1,30,1,30,https://akizukidenshi.com/catalog/g/gI-10978/,
,,,1672.6,,
